Database loaded from C:\Users\Dor Shaar\source\repos\SoundRecognition\SoundRecognition\WorkingDirectory\database\ItemsDB.bin
Database loaded from C:\Users\Dor Shaar\source\repos\SoundRecognition\SoundRecognition\WorkingDirectory\database\ItemToRecognizeDataMap.bin
Recognizer machine turned on
Recognizer machine started
Recognizer machine start working...
Start processing new data
Creating directory: C:\Users\Dor Shaar\source\repos\SoundRecognition\SoundRecognition\WorkingDirectory\RecordsData
Recording...
Pop detected after: 45921
Pop detected after: 46142
Pop detected after: 49407
Pop detected after: 49641
Pop detected after: 49874
Pop detected after: 50108
Pop detected after: 50345
Pop detected after: 50561
Pop detected after: 50798
Pop detected after: 51250
Pop detected after: 52218
Pop detected after: 52441
Pop detected after: 52671
Pop detected after: 52905
Pop detected after: 53360
Pop detected after: 54048
Pop detected after: 54516
Pop detected after: 54750
Pop detected after: 54970
Pop detected after: 55219
Pop detected after: 55673
Pop detected after: 55891
Pop detected after: 56360
Pop detected after: 56578
Pop detected after: 57048
Pop detected after: 57281
Pop detected after: 57501
Pop detected after: 57734
Pop detected after: 58202
Pop detected after: 58423
Pop detected after: 58892
Pop detected after: 59109
Pop detected after: 59345
Pop detected after: 59578
Pop detected after: 60031
Pop detected after: 60266
Pop detected after: 60500
Pop detected after: 60718
Pop detected after: 60954
Pop detected after: 61187
Pop detected after: 61423
Pop detected after: 61642
Pop detected after: 61875
Pop detected after: 62108
Pop detected after: 62563
Pop detected after: 62796
Pop detected after: 63032
Pop detected after: 63299
Pop detected after: 63767
Pop detected after: 64000
Pop detected after: 64454
Pop detected after: 64922
Pop detected after: 65140
Pop detected after: 65375
Pop detected after: 65608
Pop detected after: 65829
Pop detected after: 66064
Pop detected after: 66298
Pop detected after: 66531
Pop detected after: 66749
Pop detected after: 66983
Pop detected after: 67220
Pop detected after: 67905
Pop detected after: 68141
Pop detected after: 69967
Pop detected after: 70204
Pop detected after: 70892
Pop detected after: 71344
Pop detected after: 71798
Pop detected after: 72031
Pop detected after: 72499
Pop detected after: 72718
Pop detected after: 72954
Pop detected after: 73423
Pop detected after: 73641
Pop detected after: 73876
Pop detected after: 74109
Pop detected after: 74345
Pop detected after: 74568
Pop detected after: 75274
Pop detected after: 75586
Pop detected after: 76395
Pop detected after: 77079
Pop detected after: 77562
Pop detected after: 77780
Pop detected after: 78014
Pop detected after: 78251
Pop detected after: 78704
Pop detected after: 78985
Pop detected after: 79673
Pop detected after: 79905
Pop detected after: 80140
Pop detected after: 80592
Pop detected after: 80829
Pop detected after: 81749
Pop detected after: 81970
Pop detected after: 82439
Pop detected after: 83358
Pop detected after: 83579
Pop detected after: 83812
Pop detected after: 84050
Pop detected after: 84499
Pop detected after: 84735
Pop detected after: 84970
Pop detected after: 85188
Pop detected after: 85656
Pop detected after: 85890
Pop detected after: 86111
Pop detected after: 86344
Pop detected after: 87265
Pop detected after: 87719
Pop detected after: 89110
Pop detected after: 89328
Pop detected after: 89563
Pop detected after: 91172
Pop detected after: 91390
Pop detected after: 91860
Pop detected after: 92780
Pop detected after: 93001
Pop detected after: 93234
Pop detected after: 93923
Pop detected after: 94155
Pop detected after: 94609
Pop detected after: 95312
Pop detected after: 95767
Pop detected after: 98531
