Database loaded from C:\Users\Dor Shaar\Desktop\SoundRecognitionForWindows-master\SoundRecognition\WorkingDirectory\database\ItemsDB.bin
Database loaded from C:\Users\Dor Shaar\Desktop\SoundRecognitionForWindows-master\SoundRecognition\WorkingDirectory\database\ItemToRecognizeDataMap.bin
Recognizer machine turned on
Recognizer machine started
Recognizer machine start working...
Start processing new data
Creating directory: C:\Users\Dor Shaar\Desktop\SoundRecognitionForWindows-master\SoundRecognition\WorkingDirectory\RecordsData
Recording...
Pop detected after: 42135
Pop detected after: 42370
Pop detected after: 42588
Pop detected after: 42820
Pop detected after: 43055
Pop detected after: 43774
Pop detected after: 46305
Pop detected after: 46539
Pop detected after: 50228
Pop detected after: 50448
Pop detected after: 51368
Pop detected after: 52526
Pop detected after: 53714
Pop detected after: 53947
Pop detected after: 54180
Pop detected after: 54867
Pop detected after: 57164
Pop detected after: 58354
Pop detected after: 58588
Pop detected after: 58822
Pop detected after: 60712
Pop detected after: 61400
Pop detected after: 61634
Pop detected after: 62088
Pop detected after: 62322
Pop detected after: 62556
Pop detected after: 65993
Pop detected after: 66916
Pop detected after: 67151
Pop detected after: 67367
Pop detected after: 68760
Pop detected after: 77086
Pop detected after: 77305
Pop detected after: 77775
Pop detected after: 77994
Pop detected after: 78232
Pop detected after: 81026
Pop detected after: 81258
Pop detected after: 81493
Pop detected after: 92118
Pop detected after: 92571
Pop detected after: 92805
